container_id,origin_port,destination_port,date,is_empty,container_type,shipping_company,trip_duration_days
C100,Shanghai,Rotterdam,2025-01-01,False,20DC,CMA CGM,15
C101,Rotterdam,Singapore,2025-01-08,True,40HC,MSC,20
C102,Shanghai,Los Angeles,2025-01-15,False,20DC,CMA CGM,30
C103,Singapore,Shanghai,2025-01-22,True,40HC,Hapag-Lloyd,10
C104,Los Angeles,Shanghai,2025-01-29,True,20DC,CMA CGM,5
C105,Singapore,Rotterdam,2025-02-05,False,40HC,MSC,22
C106,Dubai,Singapore,2025-02-12,True,20DC,Marfret,18
C107,Shanghai,Dubai,2025-02-19,True,40HC,Marfret,25
C108,Dubai,Rotterdam,2025-02-26,False,20DC,Hapag-Lloyd,19
C109,Rotterdam,Dubai,2025-03-05,True,40HC,MSC,16
